rank,severity,title,labels,body
48,Medium,[SuperAdmin] Approval Rate % calculation check,"bug,P2,role:superadmin","**Source:** SuperAdmin role test suite — Test Case `TC-062`
**Module:** Admission Reports
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Approval Rate % calculation check

**Expected Result:**
Percentage calculation should be accurate

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
49,Medium,[SuperAdmin] Rejection Rate % calculation check,"bug,P2,role:superadmin","**Source:** SuperAdmin role test suite — Test Case `TC-063`
**Module:** Admission Reports
**Original QA Priority:** High
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Rejection Rate % calculation check

**Expected Result:**
Percentage should be accurate

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
50,Medium,[SuperAdmin] IP Address masking/display check,"bug,P2,role:superadmin,security","**Source:** SuperAdmin role test suite — Test Case `TC-082`
**Module:** Security Audit
**Original QA Priority:** Low
**Assigned Severity:** P2 (Medium)

**Test Scenario:** IP Address masking/display check

**Expected Result:**
Should show correct IPv4 format, no truncation issues

**Actual Result / QA Notes:**
The IP Address column displays masked values (e.g., 172.69.***.***) instead of the complete client IP address, making it difficult to investigate security events.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
51,Medium,[Admin] Admin - Approve Student,"bug,P2,role:admin","**Source:** Admin role test suite — Test Case `STU-TC-008`
**Module:** STUDENT MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Admin - Approve Student

**Expected Result:**
Student status changes to APPROVED, enrollment number assigned

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
52,Medium,[Admin] Admin - Create Course,"bug,P2,role:admin","**Source:** Admin role test suite — Test Case `CRS-TC-001`
**Module:** COURSE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Admin - Create Course

**Expected Result:**
Course created, durationYears auto-calculated as 4

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
53,Medium,[Admin] Admin - Create Notification,"bug,P2,role:admin","**Source:** Admin role test suite — Test Case `NOT-TC-001`
**Module:** NOTIFICATION SYSTEM
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Admin - Create Notification

**Expected Result:**
Notification created and sent

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
54,Medium,[Parent] Verify Notifications bell icon,"bug,P2,role:parent","**Source:** Parent role test suite — Test Case `PDASH-11`
**Module:** 1. Parent Dashboard
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Verify Notifications bell icon

**Expected Result:**
Shows correct unread notification count for the parent; clicking navigates to notifications

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
55,Medium,[Parent] Navigate to Child Profile from Children List,"bug,P2,role:parent","**Source:** Parent role test suite — Test Case `CPRO-01`
**Module:** 3. Child Profile - Overview & Tabs
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Navigate to Child Profile from Children List

**Expected Result:**
Page loads with child's name, course, semester, and status in the header banner

**Actual Result / QA Notes:**
Child name is not properly shown

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
56,Medium,[Parent] Verify no direct payment action on this page,"bug,P2,role:parent","**Source:** Parent role test suite — Test Case `CFEE-08`
**Module:** 4. Child Profile - Fees & Payments Tab
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Verify no direct payment action on this page

**Expected Result:**
Confirm whether a payment action exists; if absent, verify this is by design and not a missing feature

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
57,Medium,[Parent] Verify summary cards,"bug,P2,role:parent","**Source:** Parent role test suite — Test Case `CATT-02`
**Module:** 5. Child Attendance
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Verify summary cards

**Expected Result:**
All four cards show correct values matching underlying attendance data

**Actual Result / QA Notes:**
Failed to load attendence data this error message shown

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
58,Medium,[Parent] Verify Attendance Rate calculation,"bug,P2,role:parent","**Source:** Parent role test suite — Test Case `CATT-05`
**Module:** 5. Child Attendance
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Verify Attendance Rate calculation

**Expected Result:**
Displayed rate matches the manual calculation

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
59,Medium,[Principal] Filter Courses,"bug,P2,role:principal,ui-state","**Source:** Principal role test suite — Test Case `PRIN-TC-017`
**Module:** Course Management
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Filter Courses

**Expected Result:**
Only courses matching filter criteria displayed

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
60,Medium,[Principal] View College Admission Analytics,"bug,P2,role:principal","**Source:** Principal role test suite — Test Case `PRIN-TC-033`
**Module:** Admission Reports
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** View College Admission Analytics

**Expected Result:**
Total Students, Approved Students, Pending Approvals cards display accurate values with correct rates (e.g., Approval Rate 17%)

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
61,Medium,[Principal] Verify Admission Metrics Breakdown,"bug,P2,role:principal","**Source:** Principal role test suite — Test Case `PRIN-TC-034`
**Module:** Admission Reports
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Verify Admission Metrics Breakdown

**Expected Result:**
Approval Rate, Pending Rate, Total Applications shown consistently with summary cards above (e.g., ""1 out of 6 applications approved"")

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
62,Medium,[Principal] Verify Admission Status Overview Bars,"bug,P2,role:principal","**Source:** Principal role test suite — Test Case `PRIN-TC-035`
**Module:** Admission Reports
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Verify Admission Status Overview Bars

**Expected Result:**
Approved, Pending, Total Students bars reflect correct counts and proportional bar lengths

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
63,Medium,[Principal] Refresh Admission Report,"bug,P2,role:principal,ui-state","**Source:** Principal role test suite — Test Case `PRIN-TC-036`
**Module:** Admission Reports
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Refresh Admission Report

**Expected Result:**
Data reloads and ""Last refreshed"" timestamp updates to current date/time

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
64,Medium,[Student] Reject oversized file,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-050`
**Module:** Profile
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Reject oversized file

**Expected Result:**
Error shown - file exceeds 5MB limit, upload blocked

**Actual Result / QA Notes:**
Cannot test oversized file rejection — document upload option is not available since college has not configured document requirements

**Status in QA sheet:** Fail/Not Executable

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
65,Medium,[Student] Profile header enrollment badge & semester tags accurate,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-055`
**Module:** Profile
**Original QA Priority:** Low
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Profile header enrollment badge & semester tags accurate

**Expected Result:**
Shows ENROLLED badge, Semester 1 tags (x2), Admitted year 2026 correctly, avatar icon shown

**Actual Result / QA Notes:**
Semester 1' tag is shown twice in the header with different icons, but no tooltip or label differentiates them — appears to be a duplicate/redundant display, confusing for the user.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
66,Medium,[Student] 'Today' button resets to current week,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-059`
**Module:** Timetable
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** 'Today' button resets to current week

**Expected Result:**
View resets to current week highlighting today's column

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
67,Medium,[Student] Today's column highlighted correctly,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-061`
**Module:** Timetable
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Today's column highlighted correctly

**Expected Result:**
Tuesday column header highlighted/marked '(Today)'

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
68,Medium,[Student] Currency/date formats correct for India locale,"bug,P2,role:student","**Source:** Student role test suite — Test Case `TC-112`
**Module:** Cross-Cutting
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Currency/date formats correct for India locale

**Expected Result:**
Consistent INR currency symbol & Indian date format throughout, no US format leakage

**Actual Result / QA Notes:**
Date format is inconsistent and uses US-style (MM/DD/YYYY) in places — e.g., Fee Installment due date shown as '7/25/2026' instead of Indian format '25/07/2026'. Also, Payment Progress card incorrectly shows '₹0%' with rupee symbol wrongly applied to a percentage.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
69,Medium,[SuperAdmin] Status filter dropdown (All Status),"bug,P2,role:superadmin,ui-state","**Source:** SuperAdmin role test suite — Test Case `TC-019`
**Module:** Dashboard
**Original QA Priority:** s
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Status filter dropdown (All Status)

**Expected Result:**
Correctly filtered colleges should be displayed

**Actual Result / QA Notes:**
This issue is present on both the Dashboard and the College tab.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
70,Medium,[SuperAdmin] Quick Action - Platform Support Config,"bug,P2,role:superadmin","**Source:** SuperAdmin role test suite — Test Case `TC-023`
**Module:** Dashboard
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Quick Action - Platform Support Config

**Expected Result:**
Relevant config page should open (verify functionality)

**Actual Result / QA Notes:**
Role has not been implemented for this feature.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
71,Medium,[SuperAdmin] Sorting check (if name/date column is sortable),"bug,P2,role:superadmin,ui-state","**Source:** SuperAdmin role test suite — Test Case `TC-059`
**Module:** Colleges List
**Original QA Priority:** Low
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Sorting check (if name/date column is sortable)

**Expected Result:**
Ascending/Descending sort should work correctly

**Actual Result / QA Notes:**
Sorting functionality is not available — clicking on column headers does not reorder the list

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
72,Medium,[SuperAdmin] Growth (30 days) trend calculation,"bug,P2,role:superadmin","**Source:** SuperAdmin role test suite — Test Case `TC-064`
**Module:** Admission Reports
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Growth (30 days) trend calculation

**Expected Result:**
Correct calculation and correct arrow direction (up/down) should be shown

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
73,Medium,[Teacher] Teacher - Update My Profile,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `TCH-TC-006`
**Module:** TEACHER MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - Update My Profile

**Expected Result:**
Profile updated

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
74,Medium,[Teacher] Attendance Already Saved Prevention,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `ATT-TC-003`
**Module:** ATTENDANCE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Attendance Already Saved Prevention

**Expected Result:**
Error ""Attendance already saved. Use Edit option""

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
75,Medium,[Teacher] Mark All Students Feature,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `ATT-TC-006`
**Module:** ATTENDANCE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Mark All Students Feature

**Expected Result:**
All students marked, undo available for 5 seconds

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
76,Medium,[Teacher] Teacher - Create Timetable,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `TTB-TC-001`
**Module:** TIMETABLE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - Create Timetable

**Expected Result:**
Timetable created in DRAFT status

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
77,Medium,[Teacher] Teacher - Publish Timetable,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `TTB-TC-002`
**Module:** TIMETABLE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - Publish Timetable

**Expected Result:**
Status changes to PUBLISHED

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
78,Medium,[Teacher] Teacher - Archive Timetable,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `TTB-TC-003`
**Module:** TIMETABLE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - Archive Timetable

**Expected Result:**
Timetable archived, no longer editable

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
79,Medium,[Teacher] Teacher - Add Timetable Slot,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `TTB-TC-004`
**Module:** TIMETABLE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - Add Timetable Slot

**Expected Result:**
Slot added to timetable

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
80,Medium,[Teacher] Teacher - Create Timetable With No Assigned Course,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `TTB-TC-010`
**Module:** TIMETABLE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - Create Timetable With No Assigned Course

**Expected Result:**
Course dropdown is empty (""Select course""), Semester shows ""N/A"", Create Timetable button remains disabled

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
81,Medium,[Teacher] Teacher - Add Slot With No Subjects Available,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `TTB-TC-011`
**Module:** TIMETABLE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - Add Slot With No Subjects Available

**Expected Result:**
Subject dropdown shows ""No subjects available for this course"", Assigned Teacher field stays blank, ""Add Timetable Slot"" button remains disabled

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
82,Medium,[Teacher] Teacher - View Own Timetable Before Publish,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `TTB-TC-012`
**Module:** TIMETABLE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - View Own Timetable Before Publish

**Expected Result:**
Slot displays with a ""Timetable not published"" warning badge; slot not visible to students

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
83,Medium,[Teacher] Teacher - View Timetable Management Summary,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `TTB-TC-013`
**Module:** TIMETABLE MANAGEMENT
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - View Timetable Management Summary

**Expected Result:**
Counters and tab contents accurately reflect each timetable's status; View/Edit actions available per row

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
84,Medium,[Teacher] Teacher - Target Audience - Specific Department,"bug,P2,role:teacher","**Source:** Teacher role test suite — Test Case `NOT-TC-009`
**Module:** NOTIFICATION SYSTEM
**Original QA Priority:** Medium
**Assigned Severity:** P2 (Medium)

**Test Scenario:** Teacher - Target Audience - Specific Department

**Expected Result:**
Department selector appears only when ""Specific Department"" is chosen; notification is sent only to students of the selected department

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
85,Low,[Parent] Verify 'My Children' section with 0 children,"bug,P3,role:parent","**Source:** Parent role test suite — Test Case `PDASH-08`
**Module:** 1. Parent Dashboard
**Original QA Priority:** Low
**Assigned Severity:** P3 (Low)

**Test Scenario:** Verify 'My Children' section with 0 children

**Expected Result:**
Displays an appropriate empty state message

**Actual Result / QA Notes:**
Parent credentials should be generated only after the College Admin approves the student's admission.

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
86,Low,[Parent] Verify 'No Attendance Records' empty state,"bug,P3,role:parent","**Source:** Parent role test suite — Test Case `CATT-03`
**Module:** 5. Child Attendance
**Original QA Priority:** Low
**Assigned Severity:** P3 (Low)

**Test Scenario:** Verify 'No Attendance Records' empty state

**Expected Result:**
Correct empty state message and icon are shown: 'Attendance data will appear here once classes begin'

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
87,Low,[Student] Refresh button reloads timetable data,"bug,P3,role:student,ui-state","**Source:** Student role test suite — Test Case `TC-060`
**Module:** Timetable
**Original QA Priority:** Low
**Assigned Severity:** P3 (Low)

**Test Scenario:** Refresh button reloads timetable data

**Expected Result:**
Data reloads, loading indicator shown briefly, counters update if data changed

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** Fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
88,Low,[Student] Overlapping/conflicting class handling,"bug,P3,role:student","**Source:** Student role test suite — Test Case `TC-065`
**Module:** Timetable
**Original QA Priority:** Low
**Assigned Severity:** P3 (Low)

**Test Scenario:** Overlapping/conflicting class handling

**Expected Result:**
UI handles gracefully - both shown side by side or warning indicator, no layout break

**Actual Result / QA Notes:**
(no additional QA comment — see Expected Result vs actual observed behavior)

**Status in QA sheet:** fail

---
_Auto-generated from Novaa_QA_TestCases_RoleWise.xlsx. Reference project: Smart College MERN._
"
